# These numbers were manually extracted from the plot --- not high precision
# Fermi LAT 44 months preliminary			
# Source: http://galprop.stanford.edu/download/talks/13.Fermi_symposium_Ackermann.pdf			
# (Slide 16)
# Energy: MeV
# Energy: MeV cm^-2 s^-1 sr^-1			
# energy 	flux 	flux_hi 	flux_lo
241.68045020895000000000	0.00071438542309319900	0.00026851464079295600	0.00026596499055128100
336.95981953704900000000	0.00069614006460145700	0.00019780506258575400	0.00021152907505813600
479.85423816375600000000	0.00069614006460145700	0.00013104559410551500	0.00013982816193778200
678.58527275941600000000	0.00066103540228622200	0.00009128786642595500	0.00008021088010481170
966.71098697483900000000	0.00051922525135491200	0.00005661182653475730	0.00006300345524578520
1357.80101773768000000000	0.00041493257202147200	0.00004922631133980650	0.00006271057151439130
1920.41229367046000000000	0.00035834975848356000	0.00004251350211846840	0.00004618632960521640
2735.74240086305000000000	0.00028637087002769900	0.00003397415039739380	0.00004117502384064580
3841.89661705136000000000	0.00025380161543010800	0.00003504957206216810	0.00003835814642691940
5434.45220801955000000000	0.00020282248754045100	0.00004237335864660270	0.00003791952255097810
7684.00460212306000000000	0.00021175939944708900	0.00003986286340789430	0.00003200412273776390
10787.33915058110000000000	0.00023283121179925500	0.00002987821414180060	0.00002825203665295030
15369.44940656600000000000	0.00016922495975112500	0.00002171590117368400	0.00002307657915817440
21736.12664770940000000000	0.00015390967375650900	0.00001975055730481930	0.00001867559641428790
30744.22178555560000000000	0.00012841454940522600	0.00001400121079723550	0.00001655086005927170
43162.01602222110000000000	0.00013877847070050500	0.00001916507111765950	0.00001471813305929530
61498.27709227730000000000	0.00009829000638861570	0.00001551982378239050	0.00001413234996966360
87002.26337405520000000000	0.00007205728633211990	0.00001137772218357790	0.00001089033233917710
121330.68536253500000000000	0.00006012100298738500	0.00001009594481237920	0.00000952457585763371
172886.31966250700000000000	0.00004078372515483510	0.00000937823880741256	0.00000956738226700070
246244.53473677500000000000	0.00003645841237070730	0.00000916376724020533	0.00001041305402395330
350994.51894023400000000000	0.00001993542359610580	0.00000919987515394779	0.00000894034085563785

