# http://adsabs.harvard.edu/abs/2008PhRvL.101z1104A
# http://www.mpi-hd.mpg.de/hfm/HESS/pages/publications/auxiliary/auxinfo_electrons.html
# E(GeV)   upper value    lower value
#	      (GeV^2m^-2s^-1sr^-1)
714.713	   190.91    124.99
929.98     151.12	  98.45
1210.08	   119.84	  77.31
1574.55	   95.36	  60.39
2048.8	   76.33	  46.71
2665.88	   61.68	  35.52
3468.83	   50.57	  26.22
4513.62	   42.33	  18.33
5873.09	   36.46	  11.46
7642.02	   32.64	   5.21
