# These numbers were manually extracted from the plot --- not high precision
# http://adsabs.harvard.edu/abs/2010PhRvL.104j1101A
# Energy: Mev
# Flux: MeV cm^-2 s^-1 sr^-1			
# energy 	flux 	flux_hi 	flux_lo
274.35412959982300000000	0.00096609253558741100	0.00027451084082468500	0.00022022934259309600
548.78147884026500000000	0.00075232326871217800	0.00014162185847503400	0.00014590603415011700
1105.60060002971000000000	0.00055153494418928700	0.00009819679494885080	0.00007930088864746220
2196.06068269485000000000	0.00041136961452096300	0.00007743869125348800	0.00007109056896140770
4392.53296999610000000000	0.00032874104593189400	0.00006526747852345270	0.00006603161999083770
8852.44742333838000000000	0.00019259463929970900	0.00005260120688734390	0.00005261417949831420
17956.33899640900000000000	0.00016777185295673400	0.00004036647428830390	0.00004045997808908110
35411.26898325880000000000	0.00013523407734222100	0.00003399088240890420	0.00003694407095360530
70821.67299568310000000000	0.00011578982884692200	0.00002910359972747820	0.00002942645738689140

