# http://adsabs.harvard.edu/abs/2008PhRvL.101z1104A
# http://www.mpi-hd.mpg.de/hfm/HESS/pages/publications/auxiliary/auxinfo_electrons.html
# E(GeV)   E^3*dN/dE    lower error  upper error
#          (GeV^2m^-2 s^-1sr^-1)
714.713   148.62    5.33	     5.33
929.98    132.95    5.71	     4.56
1213.76   107.79    4.79	     4.79
1579.33   74.78		4.96	     5.78
2034.57   63.42     5.26	     5.91
2655.41   36.13		5.88	     5.88
3455.2    23.58		7.39	     7.39
4509.53   45.71		8.36	     8.88 
