# These numbers were manually extracted from the plot --- not high precision
# http://www.slac.stanford.edu/exp/glast/groups/canda/archive/p7rep_v15/lat_Performance_files/cPsfEnergy_P7REP_SOURCE_V15.png
# P7SOURCE_V6 PSF, TOTAL, 68% Containment
# Energy: MeV
# Containment Angle: deg		
# energy 	containment_angle
29.989807922064667 	24.31544392270023
53.53261036766541 	17.03146972255534
94.47762065329725 	11.752923233988946
168.64508329097882 	7.6416692650678995
301.0359905505151 	5.118722779114602
531.2867039900641 	3.2788971635519752
937.6472272316527 	2.131864019096264
1673.725413919162 	1.3454600377924224
2953.892844903202 	0.8879081125956417
5213.210522231909 	0.6407053470739947
9305.72040929699 	0.5131188008321864
16800.760751722682 	0.4629267519242298
30332.478241515255 	0.45666710935680144
53532.61036766539 	0.47104507960278075
94477.6206532974 	0.49316327398255705
166739.87580661368 	0.5399027434059459
301035.9905505157 	0.5999666729837204
